cod;genero;raca;nome;regiao;periodo;valor
29;homem;nao negro;BA;Nordeste;2009;301
23;homem;nao negro;CE;Nordeste;2009;166
53;homem;nao negro;DF;Centro-Oeste;2009;105
32;homem;nao negro;ES;Sudeste;2009;219
52;homem;nao negro;GO;Centro-Oeste;2009;365
21;homem;nao negro;MA;Nordeste;2009;142
51;homem;nao negro;MT;Centro-Oeste;2009;209
50;homem;nao negro;MS;Centro-Oeste;2009;276
31;homem;nao negro;MG;Sudeste;2009;923
15;homem;nao negro;PA;Norte;2009;189
25;homem;nao negro;PB;Nordeste;2009;41
41;homem;nao negro;PR;Sul;2009;2698
26;homem;nao negro;PE;Nordeste;2009;328
22;homem;nao negro;PI;Nordeste;2009;49
33;homem;nao negro;RJ;Sudeste;2009;1538
24;homem;nao negro;RN;Nordeste;2009;115
43;homem;nao negro;RS;Sul;2009;1589
11;homem;nao negro;RO;Norte;2009;127
14;homem;nao negro;RR;Norte;2009;26
42;homem;nao negro;SC;Sul;2009;605
35;homem;nao negro;SP;Sudeste;2009;3382
28;homem;nao negro;SE;Nordeste;2009;65
17;homem;nao negro;TO;Norte;2009;47
12;homem;nao negro;AC;Norte;2010;25
27;homem;nao negro;AL;Nordeste;2010;42
16;homem;nao negro;AP;Norte;2010;26
13;homem;nao negro;AM;Norte;2010;71
29;homem;nao negro;BA;Nordeste;2010;332
23;homem;nao negro;CE;Nordeste;2010;272
53;homem;nao negro;DF;Centro-Oeste;2010;85
32;homem;nao negro;ES;Sudeste;2010;231
52;homem;nao negro;GO;Centro-Oeste;2010;349
21;homem;nao negro;MA;Nordeste;2010;133
51;homem;nao negro;MT;Centro-Oeste;2010;217
50;homem;nao negro;MS;Centro-Oeste;2010;238
31;homem;nao negro;MG;Sudeste;2010;797
15;homem;nao negro;PA;Norte;2010;236
25;homem;nao negro;PB;Nordeste;2010;48
41;homem;nao negro;PR;Sul;2010;2588
26;homem;nao negro;PE;Nordeste;2010;228
22;homem;nao negro;PI;Nordeste;2010;45
33;homem;nao negro;RJ;Sudeste;2010;1610
24;homem;nao negro;RN;Nordeste;2010;98
43;homem;nao negro;RS;Sul;2010;1438
11;homem;nao negro;RO;Norte;2010;131
14;homem;nao negro;RR;Norte;2010;11
42;homem;nao negro;SC;Sul;2010;578
35;homem;nao negro;SP;Sudeste;2010;2911
28;homem;nao negro;SE;Nordeste;2010;52
17;homem;nao negro;TO;Norte;2010;38
12;homem;nao negro;AC;Norte;2011;12
27;homem;nao negro;AL;Nordeste;2011;67
16;homem;nao negro;AP;Norte;2011;24
13;homem;nao negro;AM;Norte;2011;131
29;homem;nao negro;BA;Nordeste;2011;374
23;homem;nao negro;CE;Nordeste;2011;251
53;homem;nao negro;DF;Centro-Oeste;2011;94
32;homem;nao negro;ES;Sudeste;2011;201
52;homem;nao negro;GO;Centro-Oeste;2011;392
21;homem;nao negro;MA;Nordeste;2011;184
51;homem;nao negro;MT;Centro-Oeste;2011;227
50;homem;nao negro;MS;Centro-Oeste;2011;214
31;homem;nao negro;MG;Sudeste;2011;1061
15;homem;nao negro;PA;Norte;2011;217
25;homem;nao negro;PB;Nordeste;2011;65
41;homem;nao negro;PR;Sul;2011;2440
26;homem;nao negro;PE;Nordeste;2011;200
22;homem;nao negro;PI;Nordeste;2011;51
33;homem;nao negro;RJ;Sudeste;2011;1319
24;homem;nao negro;RN;Nordeste;2011;140
43;homem;nao negro;RS;Sul;2011;1424
11;homem;nao negro;RO;Norte;2011;102
14;homem;nao negro;RR;Norte;2011;14
42;homem;nao negro;SC;Sul;2011;607
35;homem;nao negro;SP;Sudeste;2011;2808
28;homem;nao negro;SE;Nordeste;2011;49
17;homem;nao negro;TO;Norte;2011;51
12;homem;nao negro;AC;Norte;2012;17
27;homem;nao negro;AL;Nordeste;2012;73
16;homem;nao negro;AP;Norte;2012;19
13;homem;nao negro;AM;Norte;2012;121
29;homem;nao negro;BA;Nordeste;2012;395
23;homem;nao negro;CE;Nordeste;2012;223
53;homem;nao negro;DF;Centro-Oeste;2012;83
32;homem;nao negro;ES;Sudeste;2012;175
52;homem;nao negro;GO;Centro-Oeste;2012;511
21;homem;nao negro;MA;Nordeste;2012;172
51;homem;nao negro;MT;Centro-Oeste;2012;218
50;homem;nao negro;MS;Centro-Oeste;2012;196
31;homem;nao negro;MG;Sudeste;2012;1102
15;homem;nao negro;PA;Norte;2012;221
25;homem;nao negro;PB;Nordeste;2012;81
41;homem;nao negro;PR;Sul;2012;2408
26;homem;nao negro;PE;Nordeste;2012;161
22;homem;nao negro;PI;Nordeste;2012;45
33;homem;nao negro;RJ;Sudeste;2012;1241
24;homem;nao negro;RN;Nordeste;2012;175
43;homem;nao negro;RS;Sul;2012;1617
11;homem;nao negro;RO;Norte;2012;124
14;homem;nao negro;RR;Norte;2012;31
42;homem;nao negro;SC;Sul;2012;553
35;homem;nao negro;SP;Sudeste;2012;3150
28;homem;nao negro;SE;Nordeste;2012;65
17;homem;nao negro;TO;Norte;2012;50
12;homem;nao negro;AC;Norte;2013;20
27;homem;nao negro;AL;Nordeste;2013;94
16;homem;nao negro;AP;Norte;2013;25
13;homem;nao negro;AM;Norte;2013;122
29;homem;nao negro;BA;Nordeste;2013;330
23;homem;nao negro;CE;Nordeste;2013;232
53;homem;nao negro;DF;Centro-Oeste;2013;69
32;homem;nao negro;ES;Sudeste;2013;201
52;homem;nao negro;GO;Centro-Oeste;2013;557
